"id","symbol","name","image","current_price","market_cap","market_cap_rank","fully_diluted_valuation","total_volume","high_24h","low_24h","price_change_24h","price_change_percentage_24h","market_cap_change_24h","market_cap_change_percentage_24h","circulating_supply","total_supply","max_supply","ath","ath_change_percentage","ath_date","atl","atl_change_percentage","atl_date","roi__times","roi__currency","roi__percentage","roi","last_updated"
"bitcoin","btc","Bitcoin","https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400","93721","1873797330641","1","1873797330641","52478786485","94490","89757","3360.67","3.71919","72894821257","4.04768","19959818.0","19959843.0","21000000.0","126080","-25.4827","2025-10-06T18:57:42.558Z","67.81","138452.88812","2013-07-06T00:00:00.000Z","","","","null","2025-12-09T18:11:12.636Z"
"ethereum","eth","Ethereum","https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628","3371.39","407039909370","2","407039909370","30439065522","3388.4","3093.48","249.43","7.98943","30420070007","8.07713","120695272.1387262","120695272.1387262","null","4946.05","-31.73754","2025-08-24T19:21:03.333Z","0.432979","779682.67382","2015-10-20T00:00:00.000Z","47.09992394900072","btc","4709.992394900072","","2025-12-09T18:11:13.276Z"
"tether","usdt","Tether","https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661","1.0","185726158098","3","191193252022","89373648947","1.0","0.999925","-4.6894838162004E-05","-0.00469","61999619","0.03339","185720807124.9028","191187743536.0062","null","1.32","-24.4173","2018-07-24T00:00:00.000Z","0.572521","74.67153","2015-03-02T00:00:00.000Z","","","","null","2025-12-09T18:11:18.063Z"
"ripple","xrp","XRP","https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442","2.15","129689046240","4","214929644369","3483367928","2.17","2.05","0.069327","3.33052","4323494581","3.44871","60331635327.0","99985752852.0","100000000000.0","3.65","-41.01097","2025-07-18T03:40:53.808Z","0.00268621","79974.36611","2014-05-22T00:00:00.000Z","","","","null","2025-12-09T18:11:16.495Z"
"binancecoin","bnb","BNB","https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970","917.75","126509385504","5","126509385504","1807845416","926.09","882.45","20.76","2.3139","2961984544","2.39745","137735763.4","137735762.68","200000000.0","1369.99","-32.89778","2025-10-13T08:41:24.131Z","0.0398177","2308659.2854","2017-10-19T00:00:00.000Z","","","","null","2025-12-09T18:11:11.949Z"
"solana","sol","Solana","https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756","142.75","80344109067","6","88114387151","6274393670","144.43","132.08","6.79","4.99785","4141594411","5.43498","561461029.6275407","615761318.5276943","null","293.31","-51.21901","2025-01-19T11:15:27.957Z","0.500801","28470.31362","2020-05-11T19:35:23.449Z","","","","null","2025-12-09T18:11:16.920Z"
"usd-coin","usdc","USDC","https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694","0.999802","78179330462","7","78369182311","6195847359","0.999937","0.999689","-6.585957221361E-06","-0.00066","40289659","0.05156","78189418230.77939","78379294576.88828","null","1.17","-14.74346","2019-05-08T00:40:28.300Z","0.877647","13.91927","2023-03-11T08:02:13.981Z","","","","null","2025-12-09T18:11:18.768Z"
"staked-ether","steth","Lido Staked Ether","https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206","3371.05","29415700634","8","29415700634","44114436","3387.97","3095.76","250.78","8.03705","2262194165","8.33113","8725538.383524356","8725538.383524356","null","4932.89","-31.60358","2025-08-24T19:21:31.902Z","482.9","598.68489","2020-12-22T04:08:21.854Z","","","","null","2025-12-09T18:11:17.897Z"
"tron","trx","TRON","https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193","0.281782","26696652636","9","26696653193","628530785","0.283834","0.280036","-0.002052033700277844","-0.72297","-169681105.48257446","-0.63158","94681021453.45158","94681023429.79109","null","0.431288","-34.62908","2024-12-04T00:10:40.323Z","0.00180434","15525.48678","2017-11-12T00:00:00.000Z","147.30621374739312","usd","14730.62137473931","","2025-12-09T18:11:18.014Z"
"dogecoin","doge","Dogecoin","https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409","0.151004","24408836936","10","24408836936","1635061645","0.152789","0.139619","0.0080895","5.66037","1320219850","5.71806","161632552798.579","161632552798.579","null","0.731578","-79.34701","2021-05-08T05:08:23.458Z","8.69E-05","173762.14627","2015-05-06T00:00:00.000Z","","","","null","2025-12-09T18:11:11.282Z"
